News_Title,News_Link
"India Beat England By 100 Runs To All But Enter Semi,Finals",https://sports.ndtv.com/icc-cricket-world-cup-2023/videos/cricket-world-cup-india-beat-england-by-100-runs-to-all-but-enter-semi-finals-735231#pfrom=home-ndtv_worldcup
"England Not Prepared For World Cup, India A Complete Side",https://sports.ndtv.com/icc-cricket-world-cup-2023/videos/world-cup-2023-england-not-prepared-for-world-cup-india-a-complete-side-735161#pfrom=home-ndtv_worldcup
"""My Wife Works In Sports Media, I Heard..."" Bumrah Shuts Down Critics",https://sports.ndtv.com/icc-cricket-world-cup-2023/my-wife-works-in-sports-media-i-heard-jasprit-bumrah-shuts-down-critics-4527557#pfrom=home-ndtv_icymi
"When Saira Banu Recited ""An English Line"" During The Junglee Preparation",https://www.ndtv.com/entertainment/saira-banu-completes-62-years-in-industry-4531683#pfrom=home-ndtv_icymi
Tania Shroff Goes As Indian Pop Culture Icon The Nirma Girl For Halloween,https://www.ndtv.com/lifestyle/in-a-printed-white-frock-tania-shroff-goes-as-pop-cult-indian-brand-icon-the-washing-powder-nirma-girl-for-her-halloween-2023-costume-4530707#pfrom=home-ndtv_icymi
Watch Boy Faints Under Pune Sun During Sri Lanka Anthem At WC Game,https://sports.ndtv.com/icc-cricket-world-cup-2023/boy-faints-under-pune-sun-during-sri-lanka-anthem-at-cricket-world-cup-game-vs-afghanistan-watch-4529013#pfrom=home-ndtv_icymi
"Make Viral 5,Min Instant Noodles, Save Big On Ingredients On Big Bonus App",https://www.ndtv.com/big-bonus/make-viral-5-minute-instant-noodles-and-save-up-to-20-on-ingredients-from-big-bonus-app-4531904#pfrom=home-ndtv_icymi
"कमलनाथ के बयान पर भड़के शिवराज, बोले, ""मुझे गालियां दो, एमपी का तो अपमान मत करो""",https://mpcg.ndtv.in/assembly-elections/mp-election-2023-on-kamal-naths-statement-about-shattering-state-shivraj-said-abuse-me-why-do-you-insult-madhya-pradesh-4530712#pfrom=home-ndtv_mpcg_ndtv.in
"CG Election 2023 चुनाव आयोग की बड़ी कार्रवाई, अब तक 38 करोड़ से अधिक के कैश, शराब व जेवरात जब्त",https://mpcg.ndtv.in/chhattisgarh-news/chhattisgarh-assembly-election-election-commission-officers-sizes-cash-and-goods-worth-thirty-eight-crores-plus-4530781#pfrom=home-ndtv_mpcg_ndtv.in
"जीत के लिए ग्वालियर में अमित शाह ने दिए चार मंत्र, कहा, 'रूठों पर मत करो ऊर्जा बर्बाद'",https://mpcg.ndtv.in/madhya-pradesh-news/mp-election-2023-amit-shah-gave-four-tips-for-victory-gwalior-said-dont-waste-energy-on-getting-angry-4530605#pfrom=home-ndtv_mpcg_ndtv.in
Kriti Kharbanda Birthday बोनी से फिल्मी दुनिया में रखा कदम... जानें कैसा रहा कृति खरबंदा का बॉलीवुड सफर,https://mpcg.ndtv.in/photos/kriti-kharbanda-birthday-boney-entered-the-film-world-know-how-was-actress-bollywood-journey-106315#pfrom=home-ndtv_mpcg_ndtv.in
"हाथ में राघव के नाम का चूड़ा, चेहरे पर मुस्कान... देखिए परिणीति चोपड़ा की प्री,वेडिंग फंक्शन की अनसीन Photo",https://mpcg.ndtv.in/photos/parineeti-chopra-raghav-chadha-haldi-ceremony-see-this-unseen-photo-pre-wedding-function--106303#pfrom=home-ndtv_mpcg_ndtv.in
"Hema Malin ने शेयर कीं अपने बर्थडे के खास पल, कहा, ये मेरे जीवन का एक प्लैटिनम दिन था",https://mpcg.ndtv.in/photos/hema-malini-shared-special-moments-of-her-birthday-big-stars-were-present-106251#pfrom=home-ndtv_mpcg_ndtv.in
Onion Price Hike क्या दिवाली 2023 से पहले फूटेगा प्याज का बम ?,https://mpcg.ndtv.in/videos/onion-price-hike-will-onion-bomb-explode-before-diwali-2023-735301#pfrom=home-ndtv_mpcg_ndtv.in
Chhattisgarh Election 2023 चुनाव को लेकर क्या है चित्रकोट के लोगों को मूड?,https://mpcg.ndtv.in/videos/chhattisgarh-election-2023-what-is-the-mood-of-the-people-of-chitrakot-regarding-the-elections-735306#pfrom=home-ndtv_mpcg_ndtv.in
MP Elections 2023 चुनाव को लेकर क्या है बालाघाट के लांजी सीट पर लोगों का मूड,https://mpcg.ndtv.in/videos/mp-elections-2023-what-is-the-mood-of-the-people-in-lanji-seat-of-balaghat-regarding-the-elections-735314#pfrom=home-ndtv_mpcg_ndtv.in
"7.12 करोड़ की संपत्ति के मालिक हैं सचिन पायलट, बीते 5 साल में 6 गुना बढ़ा कैश",https://rajasthan.ndtv.in/rajasthan-news/sachin-pilot-net-worth-sachin-pilot-owns-property-worth-rs-7-12-crore-cash-increased-6-times-in-last-5-years-4531513#pfrom=home-ndtv_raj_ndtv.in
"राजस्थान चुनावः कांग्रेस चुनाव समिति की बैठक समाप्त, प्रत्याशियों की लिस्ट पर आई यह अपडेट",https://rajasthan.ndtv.in/rajasthan-news/congress-central-election-committee-meeting-regarding-rajasthan-elections-ends-forth-candidates-list-will-declared-soon-4531855#pfrom=home-ndtv_raj_ndtv.in
"इंजीनियरिंग छोड़ शुरू की आर्गेनिक खेती, गाय के गोबर से बने दीयों की जबर्दस्त है डिमांड",https://rajasthan.ndtv.in/rajasthan-news/left-engineering-and-started-organic-farming-lamps-made-from-cow-dung-are-in-great-demand-during-diwali-pm-modi-has-also-praised-him-4532187#pfrom=home-ndtv_raj_ndtv.in
